年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
2013/1,148.5,1.8,4.4,-0.5,9.7,-3.4
2013/2,93.5,1.5,4.6,-1.2,12.2,-3.8
2013/3,93.5,6.0,10.8,1.9,19.4,-3.4
2013/4,142.0,10.1,14.4,5.9,23.5,1.2
2013/5,50.0,16.3,20.8,12.4,29.2,6.6
2013/6,93.5,22.1,25.6,19.0,33.4,15.1
2013/7,413.0,25.1,28.3,22.4,32.0,19.7
2013/8,264.5,26.9,30.7,23.8,35.1,20.4
2013/9,165.0,22.9,26.9,19.3,33.0,13.0
2013/10,176.0,18.3,21.9,15.0,30.3,8.2
2013/11,416.0,9.8,13.6,6.2,19.6,0.4
2013/12,271.5,5.2,8.1,2.7,12.7,-0.1
2014/1,129.5,2.5,5.8,-0.3,11.4,-4.3
2014/2,73.5,2.5,5.2,-0.2,14.2,-4.4
2014/3,151.5,6.1,9.4,2.9,20.9,-2.8
2014/4,48.0,11.1,15.7,6.4,23.1,1.9
2014/5,90.0,17.1,21.9,13.0,29.8,8.2
2014/6,63.0,22.0,25.9,18.9,31.7,16.0
2014/7,314.5,24.9,28.6,21.7,36.1,18.6
2014/8,163.5,26.1,29.6,23.2,35.2,19.5
2014/9,103.0,21.6,25.8,17.9,31.7,13.8
2014/10,229.0,16.0,20.1,12.3,26.1,7.1
2014/11,174.5,11.1,15.0,7.4,22.0,2.6
2014/12,444.0,3.4,6.4,0.9,16.6,-1.3
2015/1,114.5,3.1,5.6,0.5,11.7,-2.5
2015/2,92.5,3.9,6.8,1.0,14.8,-3.4
2015/3,117.0,7.0,11.2,3.1,20.8,-1.0
2015/4,145.0,12.1,16.9,7.8,26.3,0.5
2015/5,63.0,18.6,23.8,14.1,29.8,8.5
2015/6,50.0,21.2,25.6,17.8,30.9,12.0
2015/7,167.0,25.2,29.0,22.1,36.0,18.5
2015/8,114.5,25.8,29.5,22.8,34.5,18.0
2015/9,145.5,21.1,24.7,17.9,28.1,14.6
2015/10,106.0,15.8,19.9,11.5,26.2,8.0
2015/11,187.0,12.1,15.1,9.1,21.5,1.8
2015/12,165.5,7.0,10.1,3.8,16.6,0.8
2016/1,269.0,3.1,5.7,0.7,13.7,-2.7
2016/2,130.0,3.6,7.1,0.7,14.5,-3.5
2016/3,41.5,6.9,11.1,3.0,21.7,-1.3
2016/4,120.5,12.4,17.4,8.3,26.7,1.5
2016/5,90.0,18.4,23.1,14.1,29.2,10.2
2016/6,73.5,21.4,25.3,18.1,30.5,11.6
2016/7,194.5,24.6,28.2,22.0,34.2,19.3
2016/8,85.0,27.0,31.1,23.3,35.9,19.7
2016/9,127.0,23.4,27.0,20.3,34.8,12.1
